,smiles,dipole
48,C1OC2CC3C1CC23,1.3903
49,C1OC2CN3C1CC23,0.3077
50,C1OC2CC3C1OC23,2.2208
51,C1CC2OC3C1OC23,0.1832
52,N=C1OC2C3CC1C32,3.0649
53,N=C1OC2C3NC1C32,3.7426
54,N=C1OC2C3OC1C23,3.5215
55,O=C1CC2C3C1CN23,1.3615
56,O=C1CC2C3CC1C23,3.0525
57,O=C1CC2C3CC1N23,2.7463
58,O=C1CC2C3CN1C23,3.9537
59,O=C1CC2C3OC1C23,3.5596
60,CN1CC12C(=O)CC2O,4.39
61,O=C1CC(O)C12CC2O,2.0482
62,CC1CC(C)C12CC2O,1.4835
63,C#CC12CCC1O2,1.885
64,OC1CN2CCC12,1.5127
65,ON=C1CN2CC1C2,0.9295
66,C#CC1CCC1=NO,0.9885
67,N#CC1CCC1=NO,4.1953
68,C#CC1NCC1=NO,1.3861
69,N#CC1NCC1=NO,4.7936
70,C#CC1OCC1=NO,1.374
71,N#CC1OCC1=NO,4.1798
72,O=CC1CCC1=NO,2.1314
73,O=CC1NCC1=NO,3.1199
74,O=CC1OCC1=NO,2.751
75,CCC1CCC1=NO,0.7493
76,CCC1NCC1=NO,1.0612
77,CCC1OCC1=NO,1.0274
78,COC1CCC1=NO,0.7256
79,OCC1CCC1=NO,2.0261
80,OCC1NCC1=NO,2.1934
81,OCC1OCC1=NO,2.1034
82,C#CC(=NO)C1CC1,0.4096
83,C#CC(=NO)C1CN1,1.199
84,CCC(=NO)C1CC1,0.8239
85,CCC(=NO)C1CN1,1.726
86,CCC(=NO)C1CO1,1.1961
87,OCC(=NO)C1CC1,1.3936
88,ON=C1CCC12CC2,0.9086
89,ON=C1CCC12CN2,1.0482
90,ON=C1CCC12CO2,1.8637
91,ON=C1CNC12CC2,1.1709
92,ON=C1COC12CC2,0.9391
93,CC1C(=NO)C2CC12,1.1585
94,CC1C(=NO)C2NC12,1.9694
95,CC1C(=NO)C2OC12,1.7424
96,CC1C(=NO)C2CN12,0.9642
97,ON=C1C(O)C2CC12,0.8025
98,ON=C1C(O)C2NC12,2.7895
99,ON=C1C(O)C2OC12,1.7223
100,ON=C1CC2CCC12,0.9635
101,ON=C1CC2COC12,2.0856
102,ON=C1CC2OCC12,1.2078
103,ON=C1CN2CCC12,1.1582
104,CC1C2CC(=NO)C12,1.226
105,CC1C2C(=NO)CN12,1.1958
106,ON=C1CC2C(O)C12,1.3157
107,ON=C1C=CC2CC12,1.1915
108,ON=C1C=CC2NC12,1.7672
109,ON=C1C=CC2OC12,1.8724
110,ON=C1C=CN2CC12,1.036
111,ON=C1CCC2CC12,1.1002
112,ON=C1CCC2NC12,1.7299
113,ON=C1CCC2OC12,1.8769
114,ON=C1COC2CC12,0.8787
115,ON=C1C2C=CC1C2,0.9564
116,ON=C1C2C=CC1N2,1.875
117,ON=C1C2C=CC1O2,1.5774
118,ON=C1C2CCC1C2,1.1239
119,ON=C1C2COC1C2,1.5306
120,ON=C1C2CCC1N2,0.1657
121,ON=C1C2CCC1O2,1.4241
122,ON=C1C2CN3C1C23,1.3376
123,ON=C1C2CC3C1C23,1.5749
124,ON=C1C2CC3C1N23,1.4924
125,ON=C1C2OC3C1C23,2.0959
126,Fc1ccccc1,1.2641
127,Fc1ccncc1,0.9015
128,Fc1cccnc1,1.9081
129,Fc1cnccn1,1.2151
130,Fc1cncnc1,1.0018
131,Fc1ccccn1,2.9725
132,Fc1ncccn1,3.4815
133,Fc1cnccn1,1.2151
134,Fc1ccncn1,1.9091
135,Fc1ncncn1,1.2187
136,Fc1cncnn1,2.2732
137,Fc1cnncn1,1.3461
138,Fc1cnnnn1,3.4819
139,Fc1nccnn1,3.3481
140,Fc1ncnnn1,2.2694
141,CC#CC(F)(F)F,3.2346
142,C#CCC(F)(F)F,1.6957
143,N#CCC(F)(F)F,3.1808
144,O=CCC(F)(F)F,1.5037
145,OCCC(F)(F)F,2.0437
146,CCCC(F)(F)F,2.1377
147,CNCC(F)(F)F,2.3821
148,COCC(F)(F)F,2.813
149,CC(=O)C(F)(F)F,2.3939
150,N=C(N)C(F)(F)F,3.9007
151,CC(C)C(F)(F)F,2.0582
152,CC(N)C(F)(F)F,2.8282
153,CC(O)C(F)(F)F,1.7532
154,FC(F)(F)C1CC1,2.2018
155,FC(F)(F)C1CN1,1.23
156,FC(F)(F)C1CO1,2.2145
157,N=c1ccoc(=N)[nH]1,3.6601
158,N=c1ncoc(=N)[nH]1,2.695
159,N=c1[nH]c(=O)cco1,3.2855
160,N=c1[nH]c(=O)nco1,3.4253
161,N=c1cc[nH]c(=O)[nH]1,2.387
162,N=c1nc[nH]c(=O)[nH]1,3.542
163,N=c1ccoc(=O)[nH]1,1.3199
164,N=c1ncoc(=O)[nH]1,1.9296
165,N=c1[nH]ccc(=O)[nH]1,5.398
166,N=c1[nH]ccc(=O)o1,4.4761
167,N=c1[nH]cnc(=O)[nH]1,5.8264
168,N=c1[nH]cnc(=O)o1,4.6313
169,N=c1cc[nH]c(=O)o1,4.1531
170,N=c1nc[nH]c(=O)o1,3.9379
171,N=c1ccoc(=O)o1,2.9145
172,N=c1ncoc(=O)o1,1.5438
173,N=c1occc(=O)o1,5.1549
174,N=c1ocnc(=O)o1,4.821
175,O=c1ccoc(=O)[nH]1,2.5168
176,O=c1cc[nH]c(=O)[nH]1,4.1467
177,Cc1cc(=N)nc[nH]1,6.3168
178,Cc1cc(=N)nco1,3.8308
179,N=c1nc(O)nco1,4.7643
180,O=c1nc(O)cc[nH]1,4.5127
181,O=c1nc(O)nc[nH]1,3.0562
182,O=c1nc(O)cco1,4.5691
183,O=c1nc(O)nco1,2.4911
184,Cc1cccc(C)c1,0.2951
185,Cc1cncc(C)c1,2.5058
186,Cc1ccnc(C)c1,2.187
187,Cc1cc(C)ncn1,2.4264
188,Cc1cccc(C)n1,1.3584
189,Cc1cccc(N)c1,1.4831
190,Cc1cccc(O)c1,1.5168
191,Cc1cccc(O)n1,1.1045
192,Cc1ccnc(N)n1,0.8568
193,Cc1ccnc(O)c1,1.5092
194,Cc1ccnc(O)n1,2.2668
195,Cc1cncc(C)n1,0.7892
196,Cc1cncc(N)c1,3.1694
197,Cc1cncc(N)n1,1.965
198,Cc1cncc(O)c1,3.5684
199,Cc1cncc(O)n1,1.9038
200,Cc1ccnc(C)n1,1.7927
201,Cc1ncnc(C)n1,0.6644
202,Cc1nccc(N)n1,3.132
203,Cc1cc(O)ccn1,2.4831
204,Cc1nccc(O)n1,0.958
205,Cc1cc(N)ncn1,3.377
206,Cc1ncnc(N)n1,2.2126
207,Cc1cc(O)ncn1,1.1739
208,Cc1ncnc(O)n1,2.0282
209,Nc1cccc(N)c1,1.1655
210,Nc1cncc(N)c1,3.803
211,Nc1cc(N)ncn1,3.4247
212,Nc1ccnc(O)c1,2.808
213,Nc1cccc(O)c1,2.5899
214,Nc1cccc(O)n1,2.1884
215,Nc1cncc(N)n1,2.0057
216,Nc1cncc(O)c1,4.3372
217,Nc1cncc(O)n1,3.2469
218,Nc1ncnc(N)n1,2.235
219,Nc1ccnc(O)n1,3.0127
220,Nc1cc(O)ccn1,2.8964
221,Nc1nccc(O)n1,1.4989
222,Nc1cc(O)ncn1,2.1384
223,Nc1ncnc(O)n1,1.3867
224,Oc1cccc(O)c1,2.2764
225,Oc1cncc(O)c1,4.5157
226,Oc1cc(O)ncn1,0.2116
227,Oc1cccc(O)n1,0.4018
228,Oc1cncc(O)n1,2.6595
229,Oc1ccnc(O)n1,2.4027
230,Oc1ncnc(O)n1,2.7202
231,Cc1cccc(=N)o1,3.5777
232,Cc1cccc(=O)[nH]1,4.4436
233,Cc1cccc(=O)o1,4.5242
234,Cc1ccnc(=N)o1,4.4792
235,Cc1ccnc(=O)[nH]1,6.3928
236,Cc1ccnc(=O)o1,5.9386
237,Cc1cncc(=N)o1,1.9357
238,Cc1cncc(=O)[nH]1,4.5409
239,Cc1cncc(=O)o1,3.5539
240,Cc1nccc(=N)o1,2.0261
241,Cc1nccc(=O)[nH]1,2.903
242,Cc1nccc(=O)o1,2.6193
243,Cc1ncnc(=N)[nH]1,3.3353
244,Cc1ncnc(=N)o1,2.5544
245,Cc1ncnc(=O)[nH]1,5.1295
246,Cc1ncnc(=O)o1,4.1879
247,N=c1nccc(N)o1,5.5615
248,Nc1ccnc(=O)[nH]1,7.6746
249,Nc1ccnc(=O)o1,7.2508
250,N=c1cncc(N)o1,4.8451
251,Nc1cncc(=O)[nH]1,5.7156
252,Nc1cncc(=O)o1,5.0101
253,N=c1ccnc(N)o1,3.5932
254,Nc1nccc(=O)[nH]1,4.1555
255,Nc1nccc(=O)o1,3.7414
256,N=c1ncnc(N)o1,4.0922
257,Nc1ncnc(=O)[nH]1,6.658
258,Nc1ncnc(=O)o1,5.7828
259,N=c1cccc(O)o1,2.4483
260,O=c1cccc(O)[nH]1,5.2097
261,O=c1cccc(O)o1,3.0826
262,N=c1nccc(O)o1,3.0659
263,O=c1nccc(O)o1,4.5991
264,N=c1cncc(O)[nH]1,3.0597
265,N=c1cncc(O)o1,3.2575
266,O=c1cncc(O)o1,2.6672
267,N=c1ccnc(O)[nH]1,1.7429
268,N=c1ccnc(O)o1,2.4227
269,O=c1ccnc(O)o1,3.6725
270,N=c1ncnc(O)[nH]1,3.2243
271,N=c1ncnc(O)o1,3.3327
272,O=C=NC=NC(=O)O,3.308
273,Cc1[nH]c(=O)[nH]c1C,4.2163
274,Cc1[nH]c(=N)oc1C,3.8575
275,Cc1oc(=N)oc1C,4.3565
276,Cc1[nH]c(=O)oc1C,5.1495
277,Cc1oc(=O)oc1C,5.2013
278,Cc1[nH]c(=O)[nH]c1N,4.9204
279,Cc1oc(=O)[nH]c1N,5.6601
280,Cc1[nH]c(=N)oc1N,3.087
281,Cc1oc(=N)oc1N,4.1106
282,Cc1[nH]c(=O)oc1N,4.1842
283,Cc1oc(=O)oc1N,4.6292
284,Cc1oc(=N)[nH]c1O,3.0933
285,Cc1[nH]c(=O)[nH]c1O,3.7422
286,Cc1oc(=N)oc1O,3.7274
287,Cc1[nH]c(=O)oc1O,3.7963
288,Nc1[nH]c(=O)[nH]c1N,4.2733
289,N=c1[nH]c(N)c(N)o1,3.6793
290,N=c1oc(N)c(N)o1,4.2697
291,Nc1[nH]c(=O)oc1N,4.7883
292,Nc1oc(=O)oc1N,5.226
293,Nc1[nH]c(=O)[nH]c1O,4.5532
294,Nc1oc(=O)[nH]c1O,4.5218
295,N=c1[nH]c(N)c(O)o1,3.5804
296,N=c1oc(N)c(O)o1,2.663
297,Nc1[nH]c(=O)oc1O,4.1263
298,Nc1oc(=O)oc1O,3.2353
299,O=c1[nH]c(O)c(O)[nH]1,4.2061
300,Cc1cc(N)[nH]c1C,1.4567
301,Cc1cc(N)oc1C,1.3325
302,Cc1cc(O)[nH]c1C,0.7328
303,Cc1nc(N)oc1C,1.6848
304,Cc1nc(O)[nH]c1C,2.0457
305,Cc1nc(O)oc1C,0.8493
306,Cc1[nH]c(N)cc1N,1.2195
307,Cc1oc(N)cc1N,2.3044
308,Cc1[nH]c(O)cc1N,1.1426
309,Cc1oc(N)nc1N,0.7336
310,Cc1[nH]c(O)nc1N,1.6956
311,Cc1oc(O)nc1N,1.6247
312,Cc1cc(O)[nH]c1N,0.4033
313,Cc1nc(O)[nH]c1N,1.5972
314,Cc1cc(N)oc1N,1.855
315,Cc1nc(N)oc1N,2.6026
316,Cc1cc(O)oc1N,1.872
317,Cc1nc(O)oc1N,3.6785
318,Cc1[nH]c(N)cc1O,1.9917
319,Cc1oc(N)cc1O,2.3981
320,Cc1[nH]c(O)cc1O,1.7887
321,Cc1[nH]c(N)nc1O,2.9387
322,Cc1oc(N)nc1O,2.0378
323,Cc1[nH]c(O)nc1O,1.6176
324,Cc1oc(O)nc1O,1.1138
325,Cc1cc(N)[nH]c1O,0.6403
326,Cc1cc(O)[nH]c1O,1.3035
327,Cc1nc(O)[nH]c1O,2.0319
328,Cc1cc(N)oc1O,1.8198
329,Cc1cc(C)c(C)[nH]1,1.7494
330,Cc1cc(C)c(C)o1,0.3628
331,Cc1cc(C)c(N)[nH]1,0.9041
332,Cc1cc(C)c(N)o1,0.8191
333,Cc1cc(C)c(O)[nH]1,0.6448
334,Cc1cc(N)c(C)[nH]1,1.4918
335,Cc1cc(N)c(C)o1,1.3324
336,Cc1cc(N)c(N)o1,1.0518
337,Cc1cc(N)c(O)[nH]1,1.1412
338,Cc1cc(N)c(O)o1,0.3784
339,Cc1cc(O)c(C)[nH]1,1.6954
340,Cc1cc(O)c(C)o1,1.678
341,Cc1cc(O)c(N)[nH]1,0.8037
342,Cc1cc(O)c(N)o1,0.8152
343,Cc1cc(O)c(O)[nH]1,1.2954
344,Cc1nc(C)c(C)o1,1.4563
345,Cc1nc(C)c(N)o1,2.2307
346,Cc1nc(C)c(O)[nH]1,2.3466
347,Cc1nc(N)c(C)o1,1.4447
348,Cc1nc(N)c(N)o1,1.223
349,Cc1nc(N)c(O)[nH]1,1.3549
350,Cc1nc(N)c(O)o1,0.8794
351,Cc1nc(O)c(C)[nH]1,2.8426
352,Cc1nc(O)c(C)o1,0.8878
353,Cc1nc(O)c(N)[nH]1,1.7631
354,Cc1nc(O)c(N)o1,1.932
355,Cc1nc(O)c(O)[nH]1,1.6334
356,Nc1nc(O)[nH]c1N,1.7753
357,Nc1nc(O)oc1N,1.2754
358,Nc1[nH]c(O)cc1O,1.6675
359,Nc1[nH]c(O)nc1O,0.4737
360,Nc1oc(O)nc1O,0.9919
361,Nc1cc(O)[nH]c1O,0.5265
362,Nc1nc(O)[nH]c1O,1.1873
363,Nc1nc(O)oc1O,2.2763
364,Nc1cc(N)c(N)o1,2.3309
365,Nc1cc(N)c(O)[nH]1,1.1345
366,Nc1cc(N)c(O)o1,1.2881
367,Nc1cc(O)c(N)[nH]1,1.6531
368,Nc1cc(O)c(N)o1,2.392
369,Nc1cc(O)c(O)[nH]1,1.6445
370,Nc1cc(O)c(O)o1,2.6128
371,Nc1nc(N)c(N)o1,1.7704
372,Nc1nc(N)c(O)o1,1.1939
373,Nc1nc(O)c(N)[nH]1,1.9246
374,Nc1nc(O)c(N)o1,2.7987
375,Nc1nc(O)c(O)[nH]1,1.8893
376,Oc1cc(O)c(O)[nH]1,1.5466
377,Oc1nc(O)c(O)[nH]1,1.7308
378,Cc1cn(C)cc1C,1.6733
379,Cc1cn(C)cc1N,1.6977
380,Cc1cn(C)cc1O,1.7883
381,Cn1cc(N)c(N)c1,1.1944
382,Cn1cc(N)c(O)c1,3.1614
383,Cn1cc(O)c(O)c1,2.9374
384,Cc1cc(C)n(C)c1,1.9086
385,Cc1cc(N)n(C)c1,1.6297
386,Cc1cc(O)n(C)c1,1.0374
387,Cc1cn(C)c(C)n1,3.4364
388,Cc1cn(C)c(O)n1,2.1404
389,Cc1cc(N)cn1C,1.8613
390,Cn1cc(N)cc1N,1.9887
391,Cn1cc(N)cc1O,1.1093
392,Cn1cc(N)nc1O,1.8773
393,Cc1cc(O)cn1C,2.0076
394,Cn1cc(O)cc1N,2.3547
395,Cn1cc(O)cc1O,2.0774
396,Cc1nc(O)cn1C,3.1533
397,Cn1cc(O)nc1N,3.1072
398,Cn1cc(O)nc1O,2.0403
399,Cc1cn(C)c(=O)[nH]1,3.7903
400,Cc1cn(C)c(=N)o1,3.3323
401,Cc1cn(C)c(=O)o1,4.644
402,Cn1cc(N)[nH]c1=O,4.5378
403,Cn1cc(N)oc1=N,4.0476
404,Cn1cc(N)oc1=O,5.0512
405,Cn1cc(O)[nH]c1=O,3.2718
406,Cn1cc(O)oc1=N,2.1071
407,Cn1cc(O)oc1=O,3.0274
408,Cc1ccc(C)cc1,0.0064
409,Cc1ccc(N)cc1,1.4472
410,Cc1ccc(O)cc1,1.2208
411,Cc1ccc(C)nc1,1.9275
412,Cc1cnc(C)cn1,0.0
413,Cc1cnc(C)nc1,2.0337
414,Cc1ccc(N)nc1,1.8469
415,Cc1cnc(N)cn1,1.5738
416,Cc1cnc(N)nc1,0.7926
417,Cc1ccc(O)nc1,1.4125
418,Cc1cnc(O)cn1,1.2359
419,Cc1cnc(O)nc1,2.7449
420,Cc1ccc(N)cn1,2.7228
421,Cc1ncc(N)cn1,3.1912
422,Cc1cnc(N)cn1,1.5735
423,Cc1ccc(O)cn1,3.0271
424,Cc1ncc(O)cn1,2.1836
425,Cc1cnc(O)cn1,1.2359
426,Nc1ccc(N)cc1,2.1793
427,Nc1ccc(O)cc1,1.9277
428,Nc1ccc(N)nc1,2.662
429,Nc1cnc(N)cn1,1.9724
430,Nc1cnc(N)nc1,2.4226
431,Nc1ccc(O)nc1,2.4664
432,Nc1cnc(O)cn1,2.0576
433,Nc1cnc(O)nc1,3.6957
434,Nc1ccc(O)cn1,2.9834
435,Nc1ncc(O)cn1,1.5175
436,Oc1ccc(O)cc1,0.0009
437,Oc1ccc(O)nc1,2.1123
438,Oc1cnc(O)cn1,0.0
439,Oc1cnc(O)nc1,2.203
440,Cc1ccc(=O)[nH]c1,4.2971
441,Cc1c[nH]c(=O)cn1,4.0583
442,Cc1cnc(=O)[nH]c1,6.0464
443,Cc1ccc(=N)oc1,3.5488
444,Cc1coc(=N)cn1,2.7772
445,Cc1cnc(=N)oc1,4.6597
446,Cc1ccc(=O)oc1,4.8228
447,Cc1coc(=O)cn1,3.4851
448,Cc1cnc(=O)oc1,5.955
449,Nc1ccc(=O)[nH]c1,5.0666
450,Nc1c[nH]c(=O)cn1,4.6165
451,Nc1cnc(=O)[nH]c1,6.7434
452,N=c1ccc(N)co1,4.2505
453,N=c1cnc(N)co1,3.3692
454,N=c1ncc(N)co1,5.3368
455,Nc1ccc(=O)oc1,5.4795
456,Nc1coc(=O)cn1,4.3771
457,Nc1cnc(=O)oc1,6.6882
458,N=c1cnc(O)c[nH]1,1.3005
459,O=c1ccc(O)c[nH]1,4.5832
460,O=c1cnc(O)c[nH]1,2.8623
461,O=c1ncc(O)c[nH]1,5.158
462,N=c1ccc(O)co1,3.5657
463,N=c1cnc(O)co1,1.4639
464,O=c1ccc(O)co1,4.4606
465,O=c1cnc(O)co1,3.0254
466,Cn1ccc(=O)cc1,6.8716
467,Cn1ccc(=O)nc1,7.8031
468,Cn1cnc(=N)nc1,7.3129
469,Cn1cnc(=O)nc1,8.5351
470,C#Cc1coc(=N)[nH]1,2.8779
471,C#Cc1c[nH]c(=N)o1,2.991
472,N#Cc1c[nH]c(=N)o1,4.0706
473,C#Cc1coc(=N)o1,3.6122
474,N#Cc1coc(=N)o1,4.077
475,C#Cc1coc(=O)[nH]1,4.3022
476,C#Cc1c[nH]c(=O)[nH]1,3.1887
477,C#Cc1c[nH]c(=O)o1,4.5736
478,C#Cc1coc(=O)o1,4.4622
479,N#Cc1coc(=O)o1,2.9978
480,N=c1[nH]cc(C=O)o1,4.8139
481,N=c1occ(C=O)o1,5.0459
482,O=Cc1c[nH]c(=O)[nH]1,4.3522
483,O=Cc1c[nH]c(=O)o1,6.3659
484,O=Cc1coc(=O)[nH]1,3.1432
485,O=Cc1coc(=O)o1,4.6225
486,C#Cc1c[nH]c(C)c1,3.0428
487,Cc1cc(C#N)c[nH]1,6.7056
488,C#Cc1coc(C)c1,1.0056
489,Cc1cc(C#N)co1,4.6551
490,C#Cc1c[nH]c(C)n1,4.1539
491,Cc1nc(C#N)c[nH]1,7.5782
492,C#Cc1coc(C)n1,1.6648
493,Cc1nc(C#N)co1,5.2357
494,C#Cc1c[nH]c(N)c1,2.79
495,N#Cc1c[nH]c(N)c1,6.5633
496,C#Cc1coc(N)c1,2.1011
497,N#Cc1coc(N)c1,5.5398
498,C#Cc1c[nH]c(N)n1,4.0859
499,N#Cc1c[nH]c(N)n1,7.7108
500,C#Cc1coc(N)n1,2.329
501,N#Cc1coc(N)n1,6.05
502,C#Cc1c[nH]c(O)c1,2.1659
503,N#Cc1c[nH]c(O)c1,5.872
504,C#Cc1c[nH]c(O)n1,2.8213
505,N#Cc1c[nH]c(O)n1,6.3308
506,Cc1cc(C=O)c[nH]1,5.0659
507,Cc1cc(C=O)co1,3.6352
508,Cc1nc(C=O)c[nH]1,6.9586
509,Cc1nc(C=O)co1,4.4861
510,Nc1cc(C=O)c[nH]1,5.1464
511,Nc1cc(C=O)co1,4.5557
512,Nc1nc(C=O)co1,4.5524
513,O=Cc1c[nH]c(O)c1,4.6313
514,O=Cc1c[nH]c(O)n1,5.6961
515,Cc1ccn(C=O)c1,2.7108
516,Cc1cn(C=O)cn1,2.9696
517,Nc1ccn(C=O)c1,3.6462
518,Nc1cn(C=O)cn1,3.4107
519,O=Cn1ccc(O)c1,2.5436
520,O=Cn1cnc(O)c1,1.4957
521,C#Cc1ccc(C)[nH]1,2.0025
522,Cc1ccc(C#N)[nH]1,4.9778
523,C#Cc1ccc(C)o1,1.2162
524,Cc1ccc(C#N)o1,5.1787
525,C#Cc1ncc(C)[nH]1,3.9132
526,Cc1cnc(C#N)[nH]1,6.1124
527,C#Cc1ncc(C)o1,2.1539
528,Cc1cnc(C#N)o1,5.4941
529,C#Cc1cnc(C)[nH]1,3.1128
530,Cc1ncc(C#N)[nH]1,4.2596
531,C#Cc1cnc(C)o1,1.0856
532,Cc1ncc(C#N)o1,3.6381
533,C#Cc1ccc(N)[nH]1,2.6039
534,N#Cc1ccc(N)[nH]1,5.9805
535,C#Cc1ccc(N)o1,2.4284
536,N#Cc1ccc(N)o1,6.249
537,C#Cc1ncc(N)[nH]1,4.1292
538,N#Cc1ncc(N)[nH]1,6.9196
539,C#Cc1ncc(N)o1,3.3544
540,N#Cc1ncc(N)o1,6.7447
541,N#Cc1cnc(N)[nH]1,5.2236
542,C#Cc1cnc(N)o1,1.9726
543,N#Cc1cnc(N)o1,5.0286
544,C#Cc1ccc(O)[nH]1,1.9204
545,N#Cc1ccc(O)[nH]1,5.635
546,C#Cc1ncc(O)[nH]1,3.2449
547,C#Cc1cnc(O)[nH]1,1.7961
548,N#Cc1cnc(O)[nH]1,4.0721
549,C#Cc1cnc(O)o1,0.4061
550,Cc1ccc(C=O)[nH]1,4.9284
551,Cc1ccc(C=O)o1,4.266
552,Cc1cnc(C=O)[nH]1,6.437
553,Cc1cnc(C=O)o1,5.1554
554,Cc1ncc(C=O)[nH]1,4.9693
555,Cc1ncc(C=O)o1,2.2478
556,Nc1ccc(C=O)[nH]1,5.9825
557,Nc1ccc(C=O)o1,5.2676
558,Nc1cnc(C=O)[nH]1,7.2132
559,Nc1cnc(C=O)o1,6.6446
560,Nc1ncc(C=O)o1,3.5915
561,O=Cc1ccc(O)[nH]1,5.1245
562,O=Cc1cnc(O)[nH]1,4.2199
563,C#Cc1cc(C)c[nH]1,1.5676
564,Cc1c[nH]c(C#N)c1,4.602
565,C#Cc1nc(C)c[nH]1,3.3026
566,Cc1c[nH]c(C#N)n1,5.4786
567,C#Cc1cc(C)co1,1.3227
568,Cc1coc(C#N)c1,5.1289
569,C#Cc1nc(C)co1,1.3315
570,Cc1coc(C#N)n1,5.0461
571,C#Cc1cc(N)c[nH]1,1.9515
572,N#Cc1cc(N)c[nH]1,5.1426
573,C#Cc1nc(N)c[nH]1,3.0813
574,N#Cc1nc(N)c[nH]1,5.675
575,C#Cc1cc(N)co1,2.1867
576,N#Cc1cc(N)co1,5.8065
577,C#Cc1nc(N)co1,1.7698
578,N#Cc1nc(N)co1,5.5698
579,C#Cc1cc(O)c[nH]1,0.6778
580,N#Cc1cc(O)c[nH]1,3.4338
581,C#Cc1nc(O)c[nH]1,2.5517
582,N#Cc1nc(O)c[nH]1,4.061
583,C#Cc1nc(O)co1,0.4111
584,N#Cc1nc(O)co1,3.6918
585,Cc1c[nH]c(C=O)c1,2.9414
586,Cc1c[nH]c(C=O)n1,5.7099
587,Cc1coc(C=O)c1,4.4869
588,Cc1coc(C=O)n1,3.6216
589,Nc1c[nH]c(C=O)c1,3.7217
590,Nc1c[nH]c(C=O)n1,5.763
591,Nc1coc(C=O)c1,5.2166
592,Nc1coc(C=O)n1,4.4168
593,O=Cc1cc(O)c[nH]1,2.4881
594,O=Cc1nc(O)c[nH]1,4.5166
595,O=Cc1nc(O)co1,2.8455
596,C#Cc1ccn(C)c1,3.1257
597,Cn1ccc(C#N)c1,6.7567
598,C#Cc1cn(C)cn1,4.5293
599,Cn1cnc(C#N)c1,7.8544
600,Cn1ccc(C=O)c1,5.9095
601,Cn1cnc(C=O)c1,7.3756
602,CN=c1[nH]c(C)co1,3.5713
603,CN=c1[nH]c(N)co1,4.0331
604,CN=c1[nH]c(O)co1,3.8299
605,CN=c1[nH]cc(C)o1,3.3022
606,CN=c1[nH]cc(N)o1,3.9597
607,CN=c1[nH]cc(O)o1,1.997
608,CN=c1occ(C)o1,3.3431
609,CN=c1occ(N)o1,2.5057
610,CN=c1occ(O)o1,1.7753
611,Cc1c[nH]c(CO)c1,0.7733
612,Cc1c[nH]c(CO)n1,2.9029
613,Cc1coc(CN)n1,1.714
614,Cc1coc(CO)c1,1.5079
615,Cc1coc(CO)n1,2.7234
616,CCc1cc(C)c[nH]1,1.6867
617,CCc1cc(C)co1,0.6057
618,CCc1cc(N)c[nH]1,1.7346
619,CCc1cc(N)co1,1.4957
620,CCc1cc(O)c[nH]1,1.9
621,CCc1cc(O)co1,2.0019
622,CCc1nc(C)c[nH]1,3.0634
623,CCc1nc(C)co1,1.046
624,CCc1nc(N)co1,1.3704
625,CCc1nc(O)c[nH]1,2.8274
626,CCc1nc(O)co1,1.1878
627,CNc1cc(C)c[nH]1,1.3046
628,CNc1cc(C)co1,1.4289
629,CNc1cc(N)c[nH]1,1.6413
630,CNc1cc(N)co1,1.0743
